"sp","d.tpos","d.tneg","d.fpos","d.fneg","global.count"
"Abies_alba",118,110,4,1,13560
"Abies_amabilis",79,71,3,0,9311
"Abies_balsamea",130,123,13,7,9335
"Abies_beshanzuensis",2,12,0,0,19544
"Abies_bifolia",28,32,2,1,18074
"Abies_bracteata",4,16,0,0,4985
"Abies_cephalonica",21,34,0,0,5334
"Abies_chensiensis",9,17,0,0,7500
"Abies_cilicica",9,17,0,0,31722
"Abies_concolor",96,74,14,2,18253
"Abies_delavayi",15,17,0,0,3234
"Abies_densa",6,21,0,0,2326
"Abies_durangensis",28,31,0,0,457
"Abies_ernestii",21,32,2,0,7693
"Abies_fabri",4,18,0,0,2200
"Abies_fargesii",13,16,1,0,27509
"Abies_ferreana",12,17,0,0,15579
"Abies_firma",161,164,1,0,2389
"Abies_flinckii",21,22,2,1,26461
"Abies_forrestii",26,34,0,0,12266
"Abies_fraseri",15,18,0,0,4982
"Abies_georgei",25,33,1,0,16342
"Abies_grandis",75,70,3,2,11328
"Abies_guatemalensis",25,25,1,2,8214
"Abies_hickelii",18,26,1,0,14202
"Abies_hidalgensis",1,18,0,0,431
"Abies_holophylla",12,17,0,0,30177
"Abies_homolepis",31,34,0,0,641
"Abies_kawakamii",17,25,0,0,742
"Abies_koreana",10,18,0,0,1642
"Abies_lasiocarpa",104,91,9,1,4931
"Abies_magnifica",47,45,1,0,7846
"Abies_mariesii",16,17,0,0,2268
"Abies_nebrodensis",1,17,0,0,867
"Abies_nephrolepis",11,17,0,0,8855
"Abies_nordmanniana",7,18,0,0,4359
"Abies_nukiangensis",11,17,0,0,10853
"Abies_numidica",2,17,0,0,4412
"Abies_pindrow",20,33,1,0,21942
"Abies_pinsapo",26,36,0,0,2864
"Abies_procera",31,30,1,0,5912
"Abies_recurvata",11,17,0,0,3067
"Abies_religiosa",37,38,2,0,28143
"Abies_sachalinensis",19,34,0,0,8562
"Abies_sibirica",36,40,9,1,35246
"Abies_spectabilis",16,18,0,0,2293
"Abies_squamata",13,17,0,0,6532
"Abies_veitchii",11,18,0,0,1687
"Abies_vejarii",11,14,0,0,64
"Abies_yuanbaoshanensis",1,12,0,0,1203
"Abies_ziyuanensis",10,13,0,0,12946
"Acmopyle_pancheri",61,59,0,0,1068
"Acmopyle_sahniana",2,5,0,0,525
"Actinostrobus_acuminatus",19,21,0,0,2025
"Actinostrobus_arenarius",58,56,2,1,2122
"Actinostrobus_pyramidalis",42,41,1,0,9318
"Afrocarpus_dawei",3,12,0,0,155
"Afrocarpus_falcatus",17,23,1,0,18113
"Afrocarpus_gracilior",47,45,4,1,11443
"Afrocarpus_mannii",2,12,0,0,6102
"Afrocarpus_usambarensis",13,23,1,1,1481
"Agathis_atropurpurea",8,14,0,0,14445
"Agathis_australis",12,14,0,0,513
"Agathis_borneensis",8,13,0,0,3262
"Agathis_corbassonii",16,15,0,0,10861
"Agathis_dammara",41,44,1,2,9207
"Agathis_labillardierei",44,37,6,0,3045
"Agathis_lanceolata",30,29,0,0,1651
"Agathis_macrophylla",11,15,0,0,2472
"Agathis_microstachya",9,16,0,0,6787
"Agathis_montana",8,14,0,0,537
"Agathis_moorei",41,41,1,0,1387
"Agathis_ovata",49,50,0,0,2301
"Agathis_robusta",22,17,5,0,27951
"Agathis_silbae",4,8,0,0,533
"Amentotaxus_argotaenia",15,19,1,0,12436
"Amentotaxus_formosana",5,13,0,0,8296
"Amentotaxus_poilanei",2,12,0,0,555
"Amentotaxus_yunnanensis",11,13,0,0,5262
