sp	d.tpos	d.tneg	d.fpos	d.fneg	global.count	Max.Latitude	Min.Latitude	Mean.Latitude	Median.Latitude
Abies_alba	118	110	4	1	13560	63.44257	42.90618	52.8815203	48.946015
Abies_amabilis	79	71	3	0	9311	63.42286	39.73193	49.188129	48.594
Abies_balsamea	130	123	13	7	9335	47.43087	41.20889	44.8652997	44.44475
Abies_beshanzuensis	2	12	0	0	19544	27.61923	27.61923	27.61923	27.61923
Abies_bifolia	28	32	2	1	18074	NA	NA	NA	NA
Abies_bracteata	4	16	0	0	4985	54.06212	-43.6	35.9135114961	36.1144
Abies_cephalonica	21	34	0	0	5334	58.3554	-43.53333	38.1792881	40.125
Abies_chensiensis	9	17	0	0	7500	55.9605	24.97673	29.3589884	28.297655
Abies_cilicica	9	17	0	0	31722	49.25	33.15	37.5360991176	37.16444
Abies_concolor	96	74	14	2	18253	63.1868	33.31691	49.4141483	56.41709
Abies_delavayi	15	17	0	0	3234	30.06671	22.32	27.7177874	27.66806
Abies_densa	6	21	0	0	2326	49.25408	26.75	31.7868255556	27.71667
Abies_durangensis	28	31	0	0	457	29.108	23.05	27.3846521277	28.193
Abies_ernestii	21	32	2	0	7693	NA	NA	NA	NA
Abies_fabri	4	18	0	0	2200	49.25	25.75	30.2421775	29.91416
Abies_fargesii	13	16	1	0	27509	49.25	-43.58333	30.7709658	30.965
Abies_ferreana	12	17	0	0	15579	NA	NA	NA	NA
Abies_firma	161	164	1	0	2389	57.05896	32.22	35.7003031	35.0728
Abies_flinckii	21	22	2	1	26461	NA	NA	NA	NA
Abies_forrestii	26	34	0	0	12266	56.13693	26.44	28.4089227	27.78444
Abies_fraseri	15	18	0	0	4982	83.49805	34.17317	36.8395487654	35.76711
Abies_georgei	25	33	1	0	16342	NA	NA	NA	NA
Abies_grandis	75	70	3	2	11328	67.30405	38.5786	53.1763051	53.00289
Abies_guatemalensis	25	25	1	2	8214	27.017	14.35	18.0692273196	16.75741
Abies_hickelii	18	26	1	0	14202	20.1	15.07722	18.362066	19.265
Abies_hidalgensis	1	18	0	0	431	20.28	20.28	20.28	20.28
Abies_holophylla	12	17	0	0	30177	58.59065	34.58	47.2547355172	43.21666
Abies_homolepis	31	34	0	0	641	59.383	-43.6226	40.172822	35.4824
Abies_kawakamii	17	25	0	0	742	26.91667	2.81667	23.853465	24.1346
Abies_koreana	10	18	0	0	1642	63.1868	-38.56667	47.3544176	49.72545
Abies_lasiocarpa	104	91	9	1	4931	67.2505	32.44258	50.1718994	48.291805
Abies_magnifica	47	45	1	0	7846	42.8542	35.90222	39.5899159939	39.656475
Abies_mariesii	16	17	0	0	2268	49.25	35.08443	38.0097981579	36.8358
Abies_nebrodensis	1	17	0	0	867	59.37	37.8	43.1385033333	40.28801
Abies_nephrolepis	11	17	0	0	8855	61.7833	34.58	44.0622932143	42.944775
Abies_nordmanniana	7	18	0	0	4359	67.30405	41.767	55.9032039	57.91245
Abies_nukiangensis	11	17	0	0	10853	NA	NA	NA	NA
Abies_numidica	2	17	0	0	4412	49.25408	36.53917	43.73999	47.3667
Abies_pindrow	20	33	1	0	21942	55.9086	-42.8652876258	33.0394801875	34.885
Abies_pinsapo	26	36	0	0	2864	50.12663	-40.646	33.1808643	36.7042
Abies_procera	31	30	1	0	5912	67.30405	44.97369	56.6670119	58.37928
Abies_recurvata	11	17	0	0	3067	39.73193	26.81739	30.8887054	30.99903
