species,EA_0.25_cells,global.count,d.tpos,d.tneg,d.fpos,d.fneg
Abies_alba,57,6658,117,111,4,2
Abies_amabilis,65,11783,79,74,2,0
Abies_bracteata,3,1610,4,15,0,0
Abies_concolor,82,13825,90,86,8,8
Abies_fabri,3,2559,4,17,0,0
Abies_fargesii,11,14450,13,18,0,0
Abies_firma,68,2270,161,163,1,0
Abies_fraseri,8,1914,15,16,0,0
Abies_grandis,65,11654,75,70,2,2
Abies_holophylla,11,23899,12,16,1,0
Abies_homolepis,15,791,31,34,0,0
Abies_kawakamii,5,700,17,26,0,0
Abies_koreana,6,985,10,18,0,0
Abies_lasiocarpa,97,11422,100,95,6,5
Abies_magnifica,34,11882,47,58,2,0
Abies_mariesii,10,3833,16,17,0,0
Abies_nebrodensis,1,1094,1,17,0,0
Abies_nephrolepis,10,27907,11,17,0,0
Abies_nordmanniana,7,41987,7,18,0,0
Abies_numidica,1,34,2,17,0,0
Abies_pinsapo,7,13088,26,35,0,0
Abies_procera,24,4638,31,31,0,0
Abies_sachalinensis,20,14136,19,34,0,0
Abies_sibirica,36,35459,37,49,2,0
Abies_veitchii,8,570,11,17,0,0
Acmopyle_pancheri,14,1486,61,63,0,0
Acmopyle_sahniana,2,2277,2,5,0,0
Actinostrobus_acuminatus,12,1520,19,22,0,0
Actinostrobus_arenarius,32,1285,58,62,1,1
Actinostrobus_pyramidalis,34,4271,42,41,4,0
Afrocarpus_falcatus,17,14995,17,23,1,0
Afrocarpus_gracilior,36,11831,47,47,1,1
Afrocarpus_mannii,1,831,2,12,0,0
Afrocarpus_usambarensis,10,2189,14,24,0,0
Agathis_atropurpurea,4,10045,8,14,0,0
Agathis_australis,6,1395,12,14,0,0
Agathis_borneensis,7,5591,8,12,1,0
Agathis_dammara,42,12088,41,41,2,2
Agathis_lanceolata,8,6519,30,30,0,0
Agathis_macrophylla,12,1958,11,15,0,0
Agathis_microstachya,5,5883,9,14,0,0
Agathis_montana,3,514,8,14,0,0
Agathis_moorei,17,1262,41,43,0,0
