"species","maxLat","minLat","EA_0.25_cells"
"Abies_alba",50.488,40.8217,57
"Abies_amabilis",55.33,41.016,65
"Abies_balsamea",53.3,38.322,145
"Abies_beshanzuensis",27.808575,27.75421667,1
"Abies_bifolia",54.1138039991046,34.914167,22
"Abies_bracteata",36.369167,35.3816,3
"Abies_cephalonica",40.15,37.0388,12
"Abies_chensiensis",35.63135,26.666668,9
"Abies_cilicica",37.955692,34.307,7
"Abies_concolor",42.8054,30.93,82
"Abies_delavayi",29.97,25.6667,10
"Abies_densa",27.97,27.383333,5
"Abies_durangensis",29.1083,23.4167,15
"Abies_ernestii",32.790891,26.876096,22
"Abies_fabri",31.22456389,29.51976,3
"Abies_fargesii",39.33,29.942,11
"Abies_ferreana",28.583333,26.666667,12
"Abies_firma",40.3807,32.166668,68
"Abies_flinckii",23.049722,17.538611,14
"Abies_forrestii",29.502,26.3333,17
"Abies_fraseri",36.6511,35.3,8
"Abies_georgei",49.25408,25.869611,16
"Abies_grandis",52.383,38.5125,65
"Abies_guatemalensis",23.991667,14.51666667,26
"Abies_hickelii",19.5333,15.08,10
"Abies_hidalgensis",19.46265833,19.46265833,1
"Abies_holophylla",44.684,36.03,11
"Abies_homolepis",36.8056,33.4708,15
"Abies_kawakamii",24.47,23.44,5
"Abies_koreana",35.839,33.36,6
"Abies_lasiocarpa",55.417,33.351,97
"Abies_magnifica",43.4151,36.4735,34
"Abies_mariesii",40.648277,36.09,10
"Abies_nebrodensis",37.85,37.85,1
"Abies_nephrolepis",49,41.1667,10
"Abies_nordmanniana",41.405277,39.7,7
"Abies_nukiangensis",27.740736,25.584234,6
"Abies_numidica",36.4997222,36.4997,1
"Abies_pindrow",35.88,29.678057,18
"Abies_pinsapo",36.76666667,35.11666667,7
"Abies_procera",47.877,41.9206,24
"Abies_recurvata",33.667,26.6667,8
"Abies_religiosa",20.936,17.38,24
"Abies_sachalinensis",54.183334,43.3333,20
"Abies_sibirica",65.8,42.62358889,36
"Abies_spectabilis",35.25,27.166668,14
"Abies_squamata",33.75,29.53,11
"Abies_veitchii",36.825558,33.783333,8
"Abies_vejarii",25.435,23.729,7
"Abies_yuanbaoshanensis",25.39845278,25.39845278,1
"Abies_ziyuanensis",26.43833333,25.39845278,6
"Acmopyle_pancheri",-20.4,-22.1791,14
"Acmopyle_sahniana",-17.67,-18.1,2
"Actinostrobus_acuminatus",-29.7605,-33.6,12
"Actinostrobus_arenarius",-26.9,-33.183334,32
"Actinostrobus_pyramidalis",-27.6672,-34.66,34
"Afrocarpus_dawei",0.75,-1.12,4
"Afrocarpus_falcatus",-22.9,-34.03,17
"Afrocarpus_gracilior",9.47,-9.14,36
"Afrocarpus_mannii",0.2738,0.269,1
"Afrocarpus_usambarensis",-1.42,-6.94,10
"Agathis_atropurpurea",-16.41,-17.5,4
"Agathis_australis",-35.3722,-37.6064,6
"Agathis_borneensis",5.02,1.6,7
"Agathis_corbassonii",-20.31578,-36.864865,11
"Agathis_dammara",15.618,-9.45,42
"Agathis_labillardierei",-0.5,-6.758333,42
"Agathis_lanceolata",-21.2447,-22.3243,8
"Agathis_macrophylla",-10.72983889,-20.18801389,12
"Agathis_microstachya",-16.96,-17.38,5
"Agathis_montana",-20.5061,-22.0103,3
"Agathis_moorei",-20.3158,-22.3497,17
"Agathis_ovata",-20.9655,-22.333334,11
"Agathis_robusta",-5.066667,-26.4,15
"Agathis_silbae",-14.767239,-15.503695,3
"Amentotaxus_argotaenia",31.08333333,20.30666667,15
"Amentotaxus_formosana",23.23666667,22.4097,5
"Amentotaxus_poilanei",15.0637,15.05828333,1
"Amentotaxus_yunnanensis",25.18333333,17.39,10
"Araucaria_angustifolia",-19.668,-29.18,17
"Araucaria_araucana",-37.78,-39.886944,18
"Araucaria_bernieri",-20.2549,-22.3075,8
"Araucaria_bidwillii",-16.4669,-26.8425,5
"Araucaria_biramulata",-20.5895,-22.289095,9
"Araucaria_columnaris",-20.6497,-22.66361,12
"Araucaria_cunninghamii",-0.83,-30.4,58
"Araucaria_humboldtensis",-21.88,-22.1428,5
"Araucaria_hunsteinii",-6.21,-7.86,6
