sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Acanthophoenix_rubra,5,12,0,0,4412,7
Acoelorrhaphe_wrightii,228,166,34,13,8412,76
Acrocomia_aculeata,357,158,109,6,44015,254
Acrocomia_emensis,4,13,0,0,8877,4
Acrocomia_glaucescens,5,14,0,0,3657,3
Acrocomia_hassleri,25,26,0,0,15343,17
Acrocomia_intumescens,10,13,0,0,21078,10
Acrocomia_totai,18,25,1,2,31272,18
Actinokentia_divaricata,34,35,0,0,4537,14
Actinokentia_huerlimannii,3,7,0,0,1986,2
Actinorhytis_calapparia,13,13,2,0,13728,12
Adonidia_merrillii,21,16,8,0,40035,23
Aiphanes_acaulis,6,13,0,0,7898,4
Aiphanes_bicornis,2,14,0,0,925,2
Aiphanes_buenaventurae,1,12,0,0,628,1
Aiphanes_chiribogensis,27,37,0,0,4259,7
Aiphanes_deltoidea,16,26,1,0,3276,12
Aiphanes_duquei,4,12,0,0,336,3
Aiphanes_eggersii,11,14,0,0,997,7
Aiphanes_erinacea,7,14,0,0,1150,19
Aiphanes_gelatinosa,10,13,0,0,2718,6
Aiphanes_graminifolia,2,13,0,0,108,1
Aiphanes_grandis,12,13,0,0,1144,4
Aiphanes_hirsuta,106,91,10,2,3731,41
Aiphanes_horrida,141,108,19,16,17602,94
Aiphanes_leiostachys,2,12,0,0,1176,1
Aiphanes_lindeniana,57,58,1,3,3548,30
Aiphanes_linearis,24,24,1,2,647,14
Aiphanes_macroloba,36,33,5,0,2652,14
Aiphanes_minima,9,13,0,0,5430,5
Aiphanes_multiplex,1,12,0,0,157,1
Aiphanes_parvifolia,14,26,0,0,4809,4
Aiphanes_pilaris,3,13,0,0,112,1
Aiphanes_simplex,64,62,1,0,1305,24
Aiphanes_spicata,4,14,0,0,147,3
Aiphanes_tricuspidata,32,36,1,1,9339,21
Aiphanes_ulei,156,132,2,3,6067,77
Aiphanes_verrucosa,12,13,0,0,884,3
Aiphanes_weberbaueri,48,58,2,5,9639,34
Allagoptera_arenaria,80,82,2,7,5100,61
Allagoptera_brevicalyx,31,38,0,0,12305,19
Allagoptera_campestris,268,163,42,8,12226,142
Allagoptera_caudescens,71,72,0,1,9066,47
Allagoptera_leucocalyx,112,93,9,5,10674,89
Ammandra_decasperma,56,49,1,0,6087,23
Aphandra_natalia,64,56,5,0,9848,27
Archontophoenix_alexandrae,110,80,12,1,33897,77
Archontophoenix_cunninghamiana,1075,918,62,42,14563,159
Archontophoenix_maxima,10,14,0,0,3458,4
Archontophoenix_myolensis,2,8,0,0,4862,1
Archontophoenix_purpurea,18,23,0,0,10645,3
Archontophoenix_tuckeri,30,34,1,0,14270,14
Areca_caliso,4,12,1,0,5539,4
Areca_catechu,32,16,21,0,68928,33
Areca_concinna,1,13,0,0,445,1
Areca_furcata,2,12,0,0,892,2
Areca_insignis,3,12,0,0,884,3
Areca_jugahpunya,1,5,0,0,162,1
Areca_kinabaluensis,6,12,0,0,3264,6
Areca_laosensis,3,13,0,0,3019,3
Areca_macrocalyx,53,43,13,0,18962,41
Areca_minuta,19,23,1,0,8427,16
Areca_novohibernica,13,14,1,0,3260,11
Areca_oxycarpa,2,7,0,0,4946,2
Areca_rheophytica,5,13,0,0,3935,4
Areca_songthanhensis,1,12,0,0,6968,1
Areca_triandra,16,22,3,3,17599,17
Areca_vestiaria,15,14,2,0,7497,12
Areca_vidaliana,3,12,0,0,8806,2
Arenga_australasica,5,7,0,0,7442,10
Arenga_brevipes,3,12,0,0,1764,2
Arenga_caudata,71,70,8,2,22109,55
Arenga_distincta,1,5,0,0,1056,1
Arenga_engleri,30,32,5,2,19366,25
Arenga_hastata,2,13,0,0,2964,2
Arenga_hookeriana,8,12,1,0,13192,6
Arenga_microcarpa,47,33,10,0,37556,48
Arenga_obtusifolia,2,13,0,0,1158,2
Arenga_pinnata,33,26,11,0,33104,31
Arenga_retroflorescens,1,12,0,0,1010,1
Arenga_tremula,119,89,19,0,2865,15
Arenga_undulatifolia,9,14,1,0,6932,8
Arenga_westerhoutii,26,17,7,0,17244,24
Asterogyne_guianensis,3,12,0,0,3657,3
Asterogyne_martiana,68,61,5,1,7976,38
Astrocaryum_acaule,75,62,8,1,9350,57
Astrocaryum_aculeatissimum,54,49,3,2,8235,42
Astrocaryum_aculeatum,185,133,20,9,16272,143
Astrocaryum_alatum,63,64,3,1,10224,40
Astrocaryum_campestre,82,71,6,1,19142,66
Astrocaryum_carnosum,1,13,0,0,964,1
Astrocaryum_chambira,210,164,3,7,4896,99
Astrocaryum_chonta,49,57,0,0,2644,13
Astrocaryum_ciliatum,28,35,1,0,6488,14
Astrocaryum_confertum,10,12,0,0,3582,4
Astrocaryum_faranae,46,48,0,0,2327,14
Astrocaryum_farinosum,1,13,0,0,431,1
Astrocaryum_ferrugineum,5,13,0,0,4208,5
Astrocaryum_gratum,63,55,4,0,3048,19
Astrocaryum_huaimi,19,24,2,0,15921,17
Astrocaryum_jauari,111,93,8,5,11868,66
Astrocaryum_javarense,26,25,0,0,3188,10
Astrocaryum_macrocalyx,55,61,0,2,3320,30
Astrocaryum_malybo,36,36,4,0,18719,25
Astrocaryum_mexicanum,102,82,17,7,4767,48
Astrocaryum_minus,1,14,0,0,248,1
Astrocaryum_murumuru,82,74,5,2,10363,64
Astrocaryum_paramaca,10,14,0,0,10673,9
Astrocaryum_perangustatum,7,13,1,0,14367,4
Astrocaryum_rodriguesii,4,13,0,0,5684,3
Astrocaryum_sciophilum,14,26,0,0,10035,11
Astrocaryum_sociale,4,14,0,0,824,3
Astrocaryum_standleyanum,62,59,5,1,15505,37
Astrocaryum_triandrum,4,13,0,0,2426,3
Astrocaryum_ulei,8,14,0,0,13628,8
Astrocaryum_urostachys,82,81,0,0,4202,41
Astrocaryum_vulgare,38,46,5,2,19472,34
Attalea_allenii,80,72,7,0,6655,40
Attalea_amygdalina,11,13,0,0,15898,7
Attalea_amylacea,2,13,0,0,12558,2
Attalea_anisitsiana,1,13,0,0,255,1
Attalea_apoda,5,13,0,0,15032,5
Attalea_attaleoides,13,14,0,0,8420,6
Attalea_barreirensis,25,26,0,1,15988,18
Attalea_bassleriana,9,12,0,0,8019,9
Attalea_brasiliensis,3,13,0,0,13786,3
Attalea_brejinhoensis,7,14,0,0,2107,6
Attalea_burretiana,33,36,2,1,8829,26
Attalea_butyracea,97,94,4,6,11251,142
Attalea_cephalotus,8,14,0,1,11977,9
Attalea_cohune,48,58,2,12,6280,37
Attalea_colenda,35,38,2,1,12083,19
Attalea_compta,13,13,0,0,25734,7
Attalea_crassispatha,3,13,0,0,9548,2
Attalea_cuatrecasana,22,24,1,0,10998,11
Attalea_dahlgreniana,5,12,1,0,10128,5
Attalea_dubia,12,14,0,0,16035,10
Attalea_eichleri,48,53,4,1,10736,39
Attalea_exigua,11,12,0,0,15678,11
Attalea_funifera,34,36,0,0,3121,20
Attalea_geraensis,50,49,3,2,18882,39
Attalea_guacuyule,9,13,0,0,29415,7
Attalea_guianensis,4,13,0,0,8487,4
Attalea_humilis,34,40,1,0,8721,24
Attalea_iguadummat,7,13,0,0,4208,3
Attalea_insignis,119,98,7,2,12037,69
Attalea_luetzelburgii,17,27,0,0,6988,10
Attalea_magdalenica,1,12,0,0,5108,1
Attalea_maracaibensis,2,14,0,0,1500,2
Attalea_maripa,179,144,14,9,11841,130
Attalea_maripensis,1,12,0,0,858,1
Attalea_microcarpa,87,84,5,0,7630,55
Attalea_moorei,2,14,0,0,3010,2
Attalea_nucifera,16,24,1,0,13365,14
Attalea_oleifera,14,25,1,0,10494,13
Attalea_osmantha,1,13,0,0,86,1
Attalea_phalerata,154,124,7,6,4999,132
Attalea_pindobassu,18,25,2,0,11026,13
Attalea_plowmanii,40,40,0,0,3692,15
Attalea_princeps,9,13,0,0,16048,9
Attalea_racemosa,107,105,3,3,4796,50
Attalea_rostrata,62,63,8,4,13728,47
Attalea_salazarii,2,13,0,0,800,2
Attalea_seabrensis,13,24,0,0,1311,11
Attalea_speciosa,23,23,4,0,28334,19
Attalea_spectabilis,5,14,0,0,30375,5
Attalea_tessmannii,42,45,2,0,9601,20
Attalea_vitrivir,19,26,1,0,12350,13
Bactris_acanthocarpa,257,171,24,11,17607,180
Bactris_acanthocarpoides,30,35,2,0,15265,25
Bactris_ana-juliae,5,12,0,0,1621,2
Bactris_aubletiana,29,38,0,0,9127,17
Bactris_bahiensis,25,27,0,0,9093,21
Bactris_balanophora,45,47,1,1,10395,34
Bactris_barronis,55,48,2,0,9618,31
Bactris_bidentula,72,67,7,0,11077,49
Bactris_bifida,74,74,0,1,5111,57
Bactris_brongniartii,110,104,8,8,8761,100
Bactris_campestris,15,24,1,0,10385,11
Bactris_caryotifolia,29,36,0,0,12833,22
Bactris_caudata,19,25,0,0,15236,12
Bactris_charnleyae,7,13,0,0,6702,3
Bactris_chaveziae,53,58,2,0,9007,29
Bactris_coloniata,43,49,1,0,8689,18
Bactris_coloradonis,120,104,5,3,8063,53
Bactris_concinna,143,107,7,0,8428,104
Bactris_constanciae,11,14,0,0,14534,10
Bactris_corossilla,164,120,16,4,12267,107
Bactris_cubensis,1,13,0,0,10953,1
